OFFSET       END               BYTES  PATH
0x4A309240   0x4A33ECA0       219744  /refill003.bin
0x4A33ECA0   0x4A358F80       107232  /refill_ex.bin
0x4A358F80   0x4A38E0C0       217408  /refill_low.bin
0x4A38E0C0   0x4A4D14E0      1324064  /ref_all.bin
0x4A4D14E0   0x4A4E7E60        92544  /Regal.bin
0x4A4E7E60   0x4A529A40       269280  /regal000.bin
0x4A529A40   0x4A55F3E0       219552  /regal001.bin
0x4A55F3E0   0x4A594E40       219744  /regal002.bin
0x4A594E40   0x4A5C9720       215264  /regal003.bin
0x4A5C9720   0x4A5DF3E0        89280  /regal_ex.bin
0x4A5DF3E0   0x4A619F80       240544  /regal_low.bin
0x4A619F80   0x4A740960      1206752  /reg_all.bin
0x1A389F6C   0x1A3BAFEC       200832  /ring_trans.bin
0x48F00A44   0x48FC0D4C       787208  /r_Top2Btl.rel
0x48FC0D4C   0x4902F638       452844  /r_Top2field.rel
0x492D5FA8   0x492D5FDE           54  /R_TOP2RMS0.str
0x1A3BAFEC   0x1A3BD02C         8256  /sand.tpl
0x4A740960   0x4A75F0C0       124768  /shihna.bin
0x4A75F0C0   0x4A7A0D00       269376  /shihna000.bin
0x4A7A0D00   0x4A7D6B60       220768  /shihna001.bin
0x4A7D6B60   0x4A814020       251072  /shihna002.bin
0x4A814020   0x4A85F080       307296  /shihna003.bin
0x4A85F080   0x4A896460       226272  /shihna004.bin
0x4A896460   0x4A8AE5C0        98656  /shihna_ex.bin
0x4A8AE5C0   0x4A8E6BA0       230880  /shihna_low.bin
0x4A8E6BA0   0x4AA35E80      1372896  /shi_all.bin
0x1A3BD02C   0x1A6CC4EC      3208384  /skit.skt
0x1A6CC4EC   0x1A6D1A0C        21792  /switch01.bin
0x1A6D1A0C   0x1A6DA60C        35840  /sym_angel.bin
0x1A6DA60C   0x1A6E11CC        27584  /sym_aqua.bin
0x1A6E11CC   0x1A6ED1EC        49184  /sym_beast.bin
0x1A6ED1EC   0x1A7020AC        85696  /sym_bird.bin
0x1A7020AC   0x1A706F6C        20160  /sym_corp.bin
0x1A706F6C   0x1A70FB6C        35840  /sym_dragon.bin
0x1A70FB6C   0x1A71788C        32032  /sym_elem.bin
0x1A71788C   0x1A72048C        35840  /sym_human.bin
0x1A72048C   0x1A72908C        35840  /sym_mech.bin
0x1A72908C   0x1A731C8C        35840  /sym_myst.bin
0x1A731C8C   0x1A73A88C        35840  /sym_plant.bin
0x1A73A88C   0x1A745F0C        46720  /sym_spider.bin
0x1A745F0C   0x1A75C4AC        91552  /system.tpl
0x1A75C4AC   0x1A7607FF        17235  /tbox.cab
0x1A760800   0x1A763AA7        12967  /tbox02.cab
0x1A763AA8   0x1A767F7D        17621  /tbox03.cab
0x1A767F80   0x1A7CA6E0       403296  /title.tpl
0x1A7CA6E0   0x1A7CCB80         9376  /toon.tpl
0x1A7CCB80   0x1A7CDDE0         4704  /toontable.tpl
0x4902F638   0x49106D30       882424  /Top2Btl.rel
0x49106D30   0x491F9F60       995888  /Top2BtlD.rel
0x491F9F60   0x49268BDC       453756  /Top2field.rel
0x49268BDC   0x492D5FA8       447436  /Top2fieldD.rel
0x492D5FE0   0x492D6012           50  /TOP2RMS.str
0x492D6014   0x492D604A           54  /TOP2RMS0.str
0x492D604C   0x492D6080           52  /TOP2RMSD.str
0x1A7CDDE0   0x1B45EC3E     13176414  /tos_ending.adx
